"","WY","Month","Site","X","Ameletidae","Baetidae","Caenidae","Heptageniidae","Isonychiidae","Leptohyphidae","Leptophlebiidae","Siphlonuridae","Ephemerellidae","Ephemeridae","Capniidae","Chloroperlidae","Leuctridae","Nemouridae","Peltoperlidae","Perlidae","Perlodidae","Pteronarcyidae","Apataniidae","Arctopsychinae","Brachycentridae","Calamoceratidae","Glossosomatidae","Helicopsychidae","Hydropsychidae","Hydroptilidae","Lepidostomatidae","Leptoceridae","Limnephilidae","Odontoceridae","Philopotamidae","Polycentropodidae","Psychomyiidae","Rhyacophilidae","Sericostomatidae","Uenoidae","Acari","Aeshnidae","Amphipoda","Amphizoidae","Athericidae","Belostomatidae","Blephariceridae","Calopterygidae","Ceratopogonidae","Chironomidae","Cladocera","Coenagrionidae","Copepoda","Cordulegastridae","Corduliidae","Corydalidae","Decapoda","Dixidae","Dryopidae","Dytiscidae","Elmidae","Empididae","Ephydridae","Gastropoda","Gomphidae","Haliplidae","Hirudunea","Hydraenidae","Hydrophilidae","Isopoda","Libellulidae","Naucoridae","Nematoda","Nematomorpha","Nemertea","Oligochaeta","Ostracoda","Pelecypoda","Psephenidae","Psychodidae","Ptilodactylidae","Pyralidae","Sialidae","Simuliidae","Stratiomyidae","Tabanidae","Tipulidae","Turbellaria","Unknown","Veliidae","number.total","Percent.ept","sample.size","eph.taxa","ple.taxa","tri.taxa","EPT.richness","total.taxa","eph.rel.ab","ple.rel.ab","tri.rel.ab","Baetidae.eph.rel.ab.","Heptageniidae.eph.rel.ab","Perlidae.ple.rel.ab","Hydropsychidae.tri.rel.ab","Diversity","Season","Location","EPT.Diversity","ppt","cwd","tmx","tmn","NDVI","PPT1","PPT3","PPT6","PPTwy","CWD1","CWD3","CWD6","CWDwy","MeanMaxT1","MeanMaxT3","MeanMaxT6","MeanMaxTwy","MaxT1","MaxT3","MaxT6","MaxTwy","MeanMinT1","MeanMinT3","MeanMinT6","MeanMinTwy","MinT1","MinT3","MinT6","MinTwy","TotalColiform","EColi","Air","PO4","PO4cor","NO3","NO3cor","pH","Cond","Tur","O2","H2Otemp","P1","P3","P6","Pwy","N1","N3","N6","Nwy","TotC1","TotC3","TotC6","TotCwy","Turb1","Turb3","Turb6","Turbwy","DO1","DO3","DO6","DOwy","pH1","pH3","pH6","pHwy","Cond1","Cond3","Cond6","Condwy","H2Otemp1","H2Otemp3","H2Otemp6","H2Otempwy","day.of.wy","day.of.year","Date","agency_cd","site_no","Flow","Flow_cd","rollMean","rollMean3","rollMean6","rollMeanWY","drought","dry","wet","flood","drought3","dry3","wet3","flood3","drought6","dry6","wet6","flood6","droughtwy","drywy","wetwy","floodwy","Drought1","Dry1","Average1","Wet1","Flood1","Drought3","Dry3","Average3","Wet3","Flood3","Drought6","Dry6","Average6","Wet6","Flood6","DroughtWY","DryWY","AverageWY","WetWY","FloodWY","Cat1","Cat3","Cat6","CatWY","Year"
"40",2003,"06",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,87.2,27.43,9.66,0.255,0.5,381.1,794,1602.6,87.2,87.2,87.2,592.1,27.43,19.71,15.1233333333333,18.4116666666667,27.43,27.43,27.43,31.38,9.66,4.97666666666667,1.84,4.28166666666667,9.66,0.05,-2.76,-2.76,NA,NA,18.3,NA,NA,NA,NA,6.633333333,35.73333333,0.29,8.886666667,11.26666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.535555555333333,0.436111111,0.408888888833333,8.886666667,12.5622222223333,NA,NA,6.633333333,6.7,6.83888888883333,7.09444444441667,35.73333333,NA,NA,NA,11.26666667,9.86111111333333,7.31111111216667,9.20208333358333,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"41",2003,"06",2,33,0,40,0,88,0,0,0,0,6,0,0,0,0,28,0,6,0,1,3,0,0,0,11,0,2,0,0,0,0,0,0,0,0,8,1,0,4,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,26,0,0,1,4,0,0,500,38.8,500,3,3,5,11,21,0.268,0.07,0.05,0.298507463,0.656716418,0.171428571,0.08,1.75036112511438,"Spring","Blw SF",1.63869233784876,0.1,28,28.17,12.65,0.111,0.1,358.5,732.7,1492.7,28,28,28,557.8,28.17,20.5433333333333,16.43,19.7125,28.17,28.17,28.17,32.04,12.65,7.4,4.09666666666667,6.91666666666667,12.65,2.09,-0.51,-0.51,NA,NA,26.4,NA,NA,NA,NA,6.666666667,46,0.35,9.546666667,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,1.07222222233333,1.16055555566667,0.948611111166667,9.546666667,9.78444444466667,10.5933333323333,NA,6.666666667,6.75555555566667,6.938888889,7.1219444445,46,37.7333333333333,55.11111111,53.8994444441667,16.5,12.7444444433333,10.5177777776667,10.9669444446667,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"42",2003,"06",4,61,0,94,0,5,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,312,0,0,5,0,0,0,500,23.8,500,3,1,3,7,17,0.204,0.002,0.032,0.921568627,0.049019608,0,0.4375,1.3511381079774,"Spring","M",0.866295980409072,0,0,28.7,13.17,0.34,0,349.3,713,1453.6,0,0,0,534.1,28.7,21.08,16.9116666666667,20.275,28.7,28.7,28.7,32.75,13.17,7.88666666666667,4.54,7.3525,13.17,2.59,-0.14,-0.14,NA,NA,15.5,NA,NA,NA,NA,6.733333333,60.1,1.15,9.066666667,13.53333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.68333333333333,2.50055555566667,2.22527777783333,9.066666667,NA,NA,NA,6.733333333,6.38888888866667,6.86666666666667,6.97833333333333,60.1,72.28888889,72.944444445,61.3808333333333,13.53333333,10.8555555543333,8.34722222166667,9.33666666666667,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"43",2003,"06",6,99,0,62,0,3,0,23,1,0,3,0,0,0,0,0,0,1,2,0,0,0,1,0,4,3,98,47,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,160,0,1,0,0,0,0,0,0,0,0,27,3,0,9,1,0,0,0,0,0,0,2,0,0,0,22,0,0,3,0,0,1,0,2,0,0,0,3,0,0,500,51,500,5,2,6,13,27,0.184,0.006,0.32,0.673913043,0.032608696,0.333333333,0.6125,2.21290468503797,"Spring","M",1.66391922172213,0,0,30.79,13.95,-0.056,0,246.6,524,1054.7,0,0,0,549.4,30.79,23.25,19.035,22.4075,30.79,30.79,30.79,35.31,13.95,9.32666666666667,6.09833333333333,8.71,13.95,4.63,1.58,1.58,NA,NA,38.8,NA,NA,NA,NA,7.4,161.35,0.25,9.443333333,19.98333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1.961111111,1.67277777766667,1.20902777775,9.443333333,10.4577777776667,11.4438888888333,NA,7.4,6.988888889,7.2,7.41111111108333,161.35,93.6055555533333,102.53055555,115.357499994167,19.98333333,13.37222222,10.7472222216667,13.1052777775,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"44",2003,"06",8,127,0,223,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,1,0,36,0,0,0,3,0,0,499,79.95992,499,2,0,2,4,15,0.460921844,0,0.338677355,0.969565217,0,0,0.982248521,1.51014508282316,"Spring","Blw LWW",0.797717091546043,0,182.8,31.29,14.19,-0.051,0,217.2,460.5,914.7,182.8,252.7,252.7,806.4,31.29,23.7633333333333,19.3883333333333,22.7141666666667,31.29,31.29,31.29,35.99,14.19,9.79666666666667,6.69833333333333,9.1875,14.19,5.26,2.12,2.12,NA,NA,26.5,NA,NA,NA,NA,9.3,175.2333333,0.616666667,9.793333333,26.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616666667,3.98333333333333,4.89277777783333,3.0475,9.793333333,10.1944444433333,11.1722222216667,NA,9.3,7.73333333333333,7.92777777766667,8.11083333325,175.2333333,105.877777766667,107.238888888333,162.690833335833,26.525,18.4333333333333,14.8277777783333,16.694444445,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"45",2003,"06",9,155,0,193,0,1,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,136,3,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,2,0,0,3,0,83,0,0,0,5,0,0,500,71.6,500,4,0,5,9,21,0.432,0,0.284,0.893518519,0.00462963,0,0.957746479,1.74287112464529,"Spring","Blw LWW",0.989328855180191,0,56.3,31.73,14.28,-0.084,0,205.5,443.1,871,56.3,56.3,56.3,607.6,31.73,24.1266666666667,19.6333333333333,22.9433333333333,31.73,31.73,31.73,36.28,14.28,9.99,6.90333333333333,9.32583333333333,14.28,5.55,2.33,2.33,NA,NA,21.6,NA,NA,NA,NA,7.4,143.9666667,1.02,8.82,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,4.09555555566667,5.1699999995,3.15249999975,8.82,10.52888889,11.6238888883333,NA,7.4,7.511111111,7.62777777766667,7.85916666658333,143.9666667,99.5444444566667,112.044444456667,159.529444453333,20.4,16.03888889,12.8027777783333,14.5744444441667,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"46",2003,"06",11,189,0,34,0,5,0,0,1,0,4,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,20,0,0,0,0,0,0,0,0,193,0,0,0,1,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,105,0,0,0,0,0,0,500,11.6,500,4,2,4,10,17,0.088,0.016,0.012,0.772727273,0.113636364,0.125,0,1.69604439646581,"Spring","LDC",1.47626051728389,0,32.4,28.57,12.95,0.356,0,349.2,714.9,1457.6,32.4,32.4,32.4,565.5,28.57,20.95,16.83,20.185,28.57,28.57,28.57,32.58,12.95,7.71333333333333,4.42166666666667,7.23416666666667,12.95,2.42,-0.18,-0.18,NA,NA,17.4,NA,NA,NA,NA,6.166666667,32.86666667,2.166666667,8.873333333,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.166666667,2,2.88888888883333,2.01416666666667,8.873333333,NA,NA,NA,6.166666667,6.11111111133333,NA,NA,32.86666667,48.8555555566667,49.9555555566667,46.444444445,15.2,12.7833333333333,10.8277777778333,12.1511111114167,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"47",2003,"06",12,215,0,52,0,12,0,0,0,0,3,0,0,0,1,18,0,2,0,1,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,1,315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,27,1,0,0,0,0,0,0,40,0,0,2,0,0,0,500,20.6,500,3,4,5,12,22,0.134,0.044,0.028,0.776119403,0.179104478,0.090909091,0,1.48951551088047,"Spring","LDC",1.6550997073396,0,31.6,28.5,12.91,0.13,0,351.3,718.5,1464.8,31.6,31.6,31.6,562.5,28.5,20.8733333333333,16.7566666666667,20.09,28.5,28.5,28.5,32.47,12.91,7.65666666666667,4.36666666666667,7.18333333333333,12.91,2.34,-0.23,-0.23,NA,NA,14,NA,NA,NA,NA,6.4,42.2,1.4,9.276666667,13.76666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.76666666666667,NA,NA,9.276666667,9.82111111233333,10.1622222245,NA,6.4,6.47777777766667,6.58333333316667,6.8505555555,42.2,32.1444444433333,30.9333333333333,35.2386111116667,13.76666667,11.7666666676667,10.3083333338333,11.6980555560833,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"48",2003,"06",13,241,0,29,0,39,0,0,0,0,4,0,0,0,0,63,0,1,0,1,0,0,2,0,0,0,9,1,0,0,0,0,0,0,2,16,4,0,6,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,12,5,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,38,0,0,0,0,0,0,500,34.2,500,3,3,6,12,19,0.144,0.13,0.068,0.402777778,0.541666667,0.015384615,0.264705882,1.90254546572052,"Spring","LDC",1.75249773548282,0,31.6,28.5,12.91,0.246,0,351.3,718.5,1464.8,31.6,31.6,31.6,562.5,28.5,20.8733333333333,16.7566666666667,20.09,28.5,28.5,28.5,32.47,12.91,7.65666666666667,4.36666666666667,7.18333333333333,12.91,2.34,-0.23,-0.23,NA,NA,22.7,NA,NA,NA,NA,6.266666667,41.1,1.4,9.25,14.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.57777777766667,3.61666666716667,2.28166666691667,9.25,11.7166666666667,11.3072222216667,NA,6.266666667,6.11111111133333,6.42222222233333,6.9525,41.1,38.58888889,36.638333335,37.7352777791667,14.66666667,11.12777778,9.61388889,10.6325000008333,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
"49",2003,"06",15,274,0,94,0,2,0,0,0,0,16,0,0,0,0,0,0,33,0,0,0,0,1,0,17,0,159,7,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,0,0,4,0,0,0,500,67.6,500,3,1,7,11,17,0.224,0.066,0.386,0.839285714,0.017857143,1,0.823834197,1.97095302879268,"Spring","SQ",1.47961160494876,0,183.6,30.46,14.08,0.274,0,252.9,534.5,1067.6,183.6,201.1,201.1,756.3,30.46,22.88,18.695,22.0716666666667,30.46,30.46,30.46,34.92,14.08,9.45666666666667,6.115,8.72083333333333,14.08,4.72,1.29,1.29,NA,NA,25.2,NA,NA,NA,NA,7.133333333,171.4333333,0.883333333,9.273333333,19.57333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333,2.22777777766667,4.87888888833333,3.52055555525,9.273333333,13.4644444443333,12.7294444455,12.186944445,7.133333333,7.12222222233333,7.3444444445,7.44194444441667,171.4333333,167.0111111,146.449999995,128.524722219167,19.57333333,14.35222222,11.306666665,13.3452777775,273,181,2003-06-30,"USGS","11418500",4.87,"A",12.871,145.877,116.112388888889,84.9345479452055,3.26333333333333,6.2425,26.3375,52.4276666666667,13.217,28.3411111111111,135.476111111111,222.115222222222,53.4085,93.83125,306.608333333333,392.213611111111,34.8922739726027,55.7143835616438,185.076712328767,230.702356164384,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","Average","Wet","Average","Average",2003
