Family,Class_order
Acari,Acari
Aeshnidae,Odonata
Ameletidae,Ephemeroptera
Amphipoda,Amphipoda
Amphizoidae,Coleoptera
Apataniidae,Trichoptera
Arctopsychinae,Trichoptera
Athericidae,Diptera
Baetidae,Ephemeroptera
Belostomatidae,Hemiptera
Blephariceridae,Diptera
Brachycentridae,Trichoptera
Caenidae,Ephemeroptera
Calamoceratidae,Trichoptera
Calopterygidae,Odonata
Capniidae,Plecoptera
Ceratopogonidae,Diptera
Chironomidae,Diptera
Chloroperlidae,Plecoptera
Cladocera,Cladocera
Coenagrionidae,Odonata
Copepoda,Copepoda
Cordulegastridae,Odonata
Corduliidae,Odonata
Corydalidae,Megaloptera
Decapoda,Decapoda
Dixidae,Diptera
Dryopidae,Coleoptera
Dytiscidae,Coleoptera
Elmidae,Coleoptera
Empididae,Diptera
Ephemerellidae,Ephemeroptera
Ephemeridae,Ephemeroptera
Ephydridae,Diptera
Gastropoda,Gastropoda
Glossosomatidae,Trichoptera
Gomphidae,Odonata
Haliplidae,Coleoptera
Helicopsychidae,Trichoptera
Heptageniidae,Ephemeroptera
Hirudunea,Hirudunea
Hydraenidae,Coleoptera
Hydrophilidae,Coleoptera
Hydropsychidae,Trichoptera
Hydroptilidae,Trichoptera
Isonychiidae,Ephemeroptera
Lepidostomatidae,Trichoptera
Leptoceridae,Trichoptera
Leptohyphidae,Ephemeroptera
Leptophlebiidae,Ephemeroptera
Leuctridae,Plecoptera
Libellulidae,Odonata
Limnephilidae,Trichoptera
Naucoridae,Hemiptera
Nematoda,Nematoda
Nematomorpha,Nematomorpha
Nemertea,Nemertea
Nemouridae,Plecoptera
Odontoceridae,Trichoptera
Oligochaeta,Oligochaeta
Ostracoda,Ostracoda
Pelecypoda,Pelecypoda
Peltoperlidae,Plecoptera
Perlidae,Plecoptera
Perlodidae,Plecoptera
Philopotamidae,Trichoptera
Polycentropodidae,Trichoptera
Psephenidae,Coleoptera
Psychodidae,Diptera
Psychomyiidae,Trichoptera
Pteronarcyidae,Plecoptera
Ptilodactylidae,Coleoptera
Pyralidae,Lepidoptera
Rhyacophilidae,Trichoptera
Sericostomatidae,Trichoptera
Sialidae,Megaloptera
Simuliidae,Diptera
Siphlonuridae,Ephemeroptera
Stratiomyidae,Diptera
Tabanidae,Diptera
Tipulidae,Dipetera
Turbellaria,Turbellaria
Uenoidae,Trichoptera
Unknown,Unknown
Veliidae,Hemiptera
