,Site,WY,Month,CF.p,CG.p,SC.p,SH.p,P.p,Mult.p,Unknown.p,Season,PPT1,PPT3,PPT6,PPTwy,CWD1,CWD3,CWD6,CWDwy,MeanMaxT1,MeanMaxT3,MeanMaxT6,MeanMaxTwy,MaxT1,MaxT3,MaxT6,MaxTwy,MeanMinT1,MeanMinT3,MeanMinT6,MeanMinTwy,MinT1,MinT3,MinT6,MinTwy,P1,P3,P6,Pwy,N1,N3,N6,Nwy,TotC1,TotC3,TotC6,TotCwy,Turb1,Turb3,Turb6,Turbwy,DO1,DO3,DO6,DOwy,pH1,pH3,pH6,pHwy,Cond1,Cond3,Cond6,Condwy,H2Otemp1,H2Otemp3,H2Otemp6,H2Otempwy,Flow,rollMean,rollMean3,rollMean6,rollMeanWY,Cat1,Cat3,Cat6,CatWY
1,1,2003,10,0.100196464,0.436149312,0.235756385,0.029469548,0.198428291,0,0,Fall,0.3,45.6,128.4,1600.1,75.8,316.3,593.1,593.1,21.13,26.25,26.47666667,18.25333333,21.13,29.13,31.92,31.92,3.89,8.273333333,8.745,4.223333333,3.89,3.89,3.89,-2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57,0.917777778,0.658611111,0.520416667,9.87,9.465555555,9.281666667,NA,5.77,5.978888889,6.350555556,6.714444444,38.33,36.18777778,NA,NA,10.2,11.71666667,11.95166667,8.553611112,7.44,47.66866667,18.57877778,13.98733333,69.64657534,Wet,Wet,Average,Average
2,1,2004,10,0.204453441,0.372469636,0.277327935,0.056680162,0.089068826,0,0,Fall,11.9,21.9,52.2,1448.5,69.5,342.2,725.8,725.8,24.66,27.06666667,26.59333333,19.61666667,24.66,29.89,30.14,30.14,6.71,8.54,8.735,4.895833333,6.71,6.71,5.61,-1.45,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0.98,0.441111111,0.312222222,0.59125,9.65,9.064444444,9.567777777,10.19944444,5.93,6.465555555,6.143888889,6.2225,34.23,34.72111111,34.405,31.525,12.9,14.29444444,12.70277778,9.494444445,2.48,46.13966667,18.69133333,36.22066667,84.9259726,Wet,Wet,Wet,Average
3,1,2005,6,0.038610039,0.397683398,0.397683398,0.042471042,0.11969112,0.003861004,0,Spring,71.7,427.6,1169.7,1799.5,0,0,0,526.9,22.28,18.66666667,14.965,18.01583333,22.28,22.28,22.28,30.14,6.21,4.263333333,2.285,4.1975,6.21,1,-1.61,-1.61,0,0.016666667,0.008333333,NA,0,0,0,NA,NA,NA,NA,NA,0.45,1.933333333,1.472222222,0.906388889,10.16,NA,NA,NA,6.733333333,6.34,6.325555556,6.170833333,34.2,33.25555556,36.42777778,36.06416667,10.2,7.933333333,6.563888889,8.876388889,11.7,47.58,152.6666667,162.8627778,98.28413699,Wet,Wet,Average,Average
4,1,2005,10,0.078891258,0.364605544,0.326226013,0.179104478,0.051172708,0,0,Fall,215,232.9,550.2,2009.9,0,264,392.4,392.4,17.96,24.53333333,24.395,17.51166667,17.96,30.98,31.69,31.69,4.21,7.65,7.976666667,4.0975,4.21,4.21,4.21,-1.61,0,0,0.008333333,NA,0,0,0,NA,NA,NA,NA,NA,0.13,0.043333333,0.971666667,0.822222222,10.71,11.81333333,11.66333333,NA,7.6,7.044444444,6.744444444,6.46,36.87,38.24666667,34.82333333,36.92888889,10.3,11.26666667,11.13333333,8.193055555,16.6,61.46166667,22.65233333,14.35166667,65.84753425,Flood,Wet,Average,Average
5,1,2006,10,0.068410463,0.448692153,0.136820926,0.271629779,0.07444668,0,0,Fall,52.5,53.8,99.1,1811.7,23.1,304.2,625.4,625.4,19.56,25.38,26.36166667,18.505,19.56,29.17,31.84,31.84,4.92,7.91,8.965,4.720833333,4.92,4.92,4.92,-0.96,0,0,0,NA,0,0,0,NA,2419.6,1725.866667,1560.983333,NA,0,0.096666667,0.256666667,NA,14.65,NA,NA,NA,7.03,7.02,6.448333333,NA,37.37,30.73666667,29.99666667,NA,10.35,12.36,11.29666667,NA,6.59,6.154666667,5.885777778,52.36855556,94.47306849,Dry,Average,Flood,Average
6,1,2007,6,0.016227181,0.39959432,0.448275862,0.036511156,0.095334686,0.004056795,0,Spring,16.9,174.3,695.7,1710.9,113.1,113.1,113.1,607.2,26.33,22.31333333,15.31166667,18.4375,26.33,26.33,26.33,31.84,10.26,6.87,2.941666667,4.8275,10.26,3.02,-2.06,-2.06,0,0,0,0,0,0,0,0,727,285.9666667,166.9666667,739.9666667,0.2,0.133333333,0.141666667,0.224166667,10.84,12.22,13.55666667,NA,6.3,6.706666667,6.621666667,6.518333333,38.23,39.83,36.94333333,35.75333333,13.2,9.133333333,6.378333333,8.568333333,3.47,7.842,20.72177778,54.35755556,34.79542466,Average,Dry,Dry,Drought
7,1,2007,10,0.108910891,0.417821782,0.344554455,0.01980198,0.106930693,0.001980198,0,Fall,20.4,53.9,118.8,1712.6,54.5,304.3,603.6,603.6,19.65,24.65666667,25.62666667,18.12416667,19.65,30.27,30.27,30.27,4.07,8.473333333,9.365,4.9825,4.07,4.07,4.07,-2.06,0,0,0,0,0,0,0,0,75.4,1638.2,1142.9,609.7416667,0.06,0.056666667,0.123333333,0.224166667,15.14,12.42333333,11.79166667,13.12666667,6.94,6.713333333,6.478333333,6.514166667,28.13,34.18666667,37.575,37.5875,9.57,12.98,12.39833333,8.87,1.61,5.170333333,4.855333333,20.4295,249.7993699,Dry,Dry,Average,Flood
8,1,2008,6,0.112903226,0.324596774,0.356854839,0.034274194,0.181451613,0,0,Spring,0,43.4,628.7,1121.6,155.5,155.5,155.5,646,27.21,21.75666667,16.64,18.55583333,27.21,27.21,27.21,30.27,9.48,6.053333333,3.128333333,4.871666667,9.48,1.74,-2.36,-2.36,0,0,0,0,0,0,0,0,149.7,142.3,128.2166667,633.0416667,0,0.073333333,0.248333333,0.1875,13.5,12.70333333,13.76833333,12.88916667,6.57,6.536666667,6.418333333,6.473333333,39.1,41.76666667,37.06166667,37.59916667,9.7,8.11,5.583333333,8.985,5.89,4.257333333,7.894444444,60.775,39.46583562,Dry,Drought,Dry,Dry
9,1,2008,10,0.116049383,0.298765432,0.466666667,0.027160494,0.086419753,0,0.004938272,Fall,129.1,129.7,155.7,1195.8,0,292.9,637.8,637.8,17.19,25.74666667,26.21166667,18.89416667,17.19,31.17,31.17,31.17,4.88,9.74,9.848333333,5.210833333,4.88,4.88,4.88,-2.36,0,0,0,0,0,0,0,0,2419.6,2419.6,1285.033333,688.05,0.13,0.096666667,0.071666667,0.173333333,NA,NA,NA,NA,6.6,6.526666667,6.62,6.555,26.57,32.74666667,36.32833333,35.73666667,10.2,13.46,12.005,8.733333333,4.29,57.09566667,22.65788889,15.65438889,39.01372603,Flood,Wet,Average,Dry
10,1,2009,6,0.041749503,0.431411531,0.300198807,0.091451292,0.129224652,0.003976143,0.001988072,Spring,18.2,250.2,914.4,1339.7,23.6,23.6,23.6,505.9,24.16,21.33333333,15.26166667,18.295,24.16,24.16,24.16,31.17,9.64,6.916666667,3.138333333,5.294166667,9.64,2.06,-1.45,-1.64,0,0,0,0,0,0,0,0,47.3,108.2666667,95.03333333,694.4083333,0.27,0.346666667,0.385,0.239166667,13.12,15.04,14.13833333,NA,7.06,7.073333333,6.776666667,6.589166667,41.83,40.54333333,42.65,38.88916667,12.12,7.663333333,6.031666667,8.475,4,8.316333333,51.49688889,81.07555556,47.55852055,Average,Average,Dry,Dry
